subject,sfreq,C3_db,C3_hz,C4_db,C4_hz,Cz_db,Cz_hz,mean_db,min_db
001,160.0,9.882750631590355,12.0,7.210968640892866,12.5,1.5623846859394883,12.5,6.218701319474236,1.5623846859394883
002,160.0,4.828907624513892,12.0,4.122069141806199,12.5,0.4737296559917583,9.0,3.141568807437283,0.4737296559917583
003,160.0,0.891612272070667,9.0,1.237780686711222,13.5,1.5009083976651951,7.0,1.210100452149028,0.891612272070667
004,160.0,0.7352097063039237,14.0,0.9139817280319291,14.0,0.10348647977384835,14.0,0.5842259713699004,0.10348647977384835
005,160.0,0.7086643431105968,14.0,0.691825279304795,7.0,1.1987370548032115,8.0,0.8664088924062011,0.691825279304795
006,160.0,0.5583470886638603,7.5,-0.24691302024893969,7.5,-0.46948945254296054,10.5,-0.052685128042679975,-0.46948945254296054
007,160.0,8.86898108565876,12.5,3.8827163166620577,12.5,9.792828620515097,12.5,7.514842007611972,3.8827163166620577
008,160.0,0.846417899182474,7.5,1.9082004696290336,8.0,2.039516227503892,9.0,1.5980448654384665,0.846417899182474
009,160.0,0.4036202577401665,8.0,0.23524892662250235,10.0,0.5672956651781773,8.5,0.40205494984694873,0.23524892662250235
010,160.0,0.39935284030434837,9.0,1.373503225067576,11.0,1.7006674746264148,11.5,1.1578411799994464,0.39935284030434837
011,160.0,0.8116211331189483,10.0,1.0909893963830837,11.0,0.7151162091679563,7.0,0.8725755795566629,0.7151162091679563
012,160.0,0.8717526387774246,8.0,-0.11100763207594454,7.0,-0.14075441236924574,7.5,0.20666353144407812,-0.14075441236924574
013,160.0,0.017845016390281115,13.5,-0.2930840392828269,9.5,0.14773662950621494,8.0,-0.04250079779544361,-0.2930840392828269
014,160.0,0.7029578993948804,8.0,0.6024684815550643,9.5,0.7775181296557911,11.0,0.6943148368685786,0.6024684815550643
015,160.0,4.066679187274514,12.0,4.267097454349517,11.5,1.6809046860035928,11.0,3.338227109209208,1.6809046860035928
016,160.0,0.5602727646717099,11.5,1.123747137454821,11.5,-0.20415576426379112,11.5,0.49328804595424663,-0.20415576426379112
017,160.0,-1.6113513427102415,14.0,-1.1992252479985308,13.5,0.8100990457775208,11.0,-0.6668258483104171,-1.6113513427102415
018,160.0,0.4393705258849713,12.0,-0.21951914629300917,7.0,-0.6390850255665471,7.0,-0.139744548658195,-0.6390850255665471
019,160.0,5.649179376106364,12.0,3.7721831637005914,12.5,-0.3672463186846514,7.5,3.018038740374101,-0.3672463186846514
020,160.0,0.04631642219843642,7.0,-1.2862337828584036,8.5,0.6197227537227669,7.5,-0.20673153564573343,-1.2862337828584036
021,160.0,1.4653759165850568,11.5,3.7220898928122064,8.0,0.9580473836250678,7.5,2.0485043976741104,0.9580473836250678
022,160.0,1.2830427797488322,11.5,0.6658013237878014,7.5,0.6746664471405139,7.5,0.8745035168923826,0.6658013237878014
023,160.0,1.154392117186788,7.0,1.7400946237474284,13.5,0.43917677234167,10.0,1.1112211710919622,0.43917677234167
024,160.0,-0.8205575161875899,7.5,0.6225426169467776,11.5,0.6154457673364876,11.5,0.13914362269855843,-0.8205575161875899
025,160.0,10.85331245446216,11.5,5.8210376347052515,11.5,6.327837957681373,11.0,7.667396015616262,5.8210376347052515
026,160.0,-1.0425869758695736,11.0,2.4638923564495965,11.0,-0.12491077695469974,14.0,0.4321315345417744,-1.0425869758695736
027,160.0,10.246028291009804,11.5,2.3519578892928568,11.5,1.7698108709945872,12.0,4.789265683765749,1.7698108709945872
028,160.0,2.7004946769323728,9.5,3.159772865322519,9.0,0.36945422289336005,10.0,2.076573921716084,0.36945422289336005
029,160.0,8.219950877054647,11.5,12.258769868578053,11.5,10.738457782114907,11.5,10.405726175915868,8.219950877054647
